Event Name,Date,Location,Type,Region,Website
DRUM TAO 30th Anniversary,4/22/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/drum-tao-30th-anniversary/
Disney’s Aladdin,4/24/2024 through 4/28/2024,The Paramount Theatre,Theatre,Downtown,https://visitseattle.org/events/disneys-aladdin/
Antarctic Symphony,4/25/2024 through 4/28/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/antarctic-symphony/
Shine On Seattle,1/30/2024 through 4/29/2024,Pioneer Square,Festivals & Special Events,Pioneer Square,https://visitseattle.org/events/shine-on-seattle/
Noah Geller’s Playlist,5/3/2024 through 5/4/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/noah-gellers-playlist/
Broadway Spectacular,5/4/2024,Cornish Playhouse at Seattle Center,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/broadway-spectacular/
Jessica Jackson Hutchins: Wrecked and Righteous,1/27/2024 through 5/5/2024,Frye Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/jessica-jackson-hutchins-wrecked-and-righteous/
The Lion Tells His Tale,5/1/2024 through 5/5/2024,Broadway Performance Hall,Theatre,Capitol Hill / Central District,https://visitseattle.org/events/the-lion-tells-his-tale/
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024,Wing Luke Museum,Museums,International District,https://visitseattle.org/events/guma-gela-part-land-part-sea-all-ancestry/
Fat Ham,4/12/2024 through 5/12/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/fat-ham/
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/a-tale-of-peter-rabbit/
The Lehman Trilogy,4/26/2024 through 5/12/2024,ACT Theatre,Theatre,Downtown,https://visitseattle.org/events/the-lehman-trilogy/
The Untold Story of Sharks | National Geographic Live,5/12/2024 through 5/14/2024,Benaroya Hall,Readings & Lectures,Downtown,https://visitseattle.org/events/the-untold-story-of-sharks-national-geographic-live/
Mother,5/17/2024,415 Westlake,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/mother/
Barber Violin Concerto,5/16/2024 through 5/18/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/barber-violin-concerto/
The Barber of Seville,5/4/2024 through 5/24/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/the-barber-of-seville/
Unriveled,5/10/2024 through 6/2/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,https://visitseattle.org/events/unriveled/
George Balenchine’s Coppelia,5/31/2024 through 6/9/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,https://visitseattle.org/events/george-balenchines-coppelia/
Jan Lisiecki Plays Prokofiev,6/6/2024 through 6/9/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/jan-lisiecki-plays-prokofiev/
Beethoven Symphony No. 5,6/13/2024 through 6/15/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/beethoven-symphony-no-5/
Elizabeth Malaska: All Be Your Mirror,Now through 6/16/2024,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/elizabeth-malaska-all-be-your-mirror/
Joshua Bell Plays Elements Concerto,6/20/2024 through 6/22/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/joshua-bell-plays-elements-concerto/
"Together Again, Again!",5/31/2024 through 6/23/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/together-again-again/
Lip Sync for Our Rights,6/22/2024 through 6/23/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/lip-sync-for-our-rights/
Company,6/23/2024 through 6/28/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/company/
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024,Henry Art Gallery,Museums,University District,https://visitseattle.org/events/2024-university-of-washington-mfa-mdes-thesis-exhibition/
Spring Awakening,6/7/2024 through 6/30/2024,The 5th Avenue Theatre,Theatre,Downtown,https://visitseattle.org/events/spring-awakening/
Girl From The North Country,6/25/2024 through 6/30/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/girl-from-the-north-country/
Nordic Utopia: African Americans in the 20th Century,3/22/2024 through 7/21/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/nordic-utopia-african-americans-in-the-20th-century/
Clue,7/9/2024 through 7/21/2024,The 5th Avenue Theatre,Theatre,Downtown,https://visitseattle.org/events/clue/
"Be Water, My Friend: The Teachings Of Bruce Lee",Now through 7/28/2024,Wing Luke Museum,Museums,International District,https://visitseattle.org/events/be-water-my-friend-the-teachings-of-bruce-lee/
Olivia Rodrigo,8/6/2024 through 8/7/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/olivia-rodrigo/
Hidden Worlds: The Films of LAIKA,Now through 8/31/2024,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/hidden-worlds-the-films-of-laika/
Sound Check! The Music We Make,Now through 9/14/2024,Wing Luke Museum,Museums,International District,https://visitseattle.org/events/sound-check-the-music-we-make/
Raul de Nieves,Now through 9/30/2024,Henry Art Gallery,Museums,University District,https://visitseattle.org/events/raul-de-nieves/
Frye Salon,Now through 10/27/2024,Frye Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/frye-salon/
On Native Land: Landscapes from the Haub Family Collection,Now through 11/17/2024,Tacoma Art Museum,Museums,South,https://visitseattle.org/events/on-native-land-landscapes-from-the-haub-family-collection/
Washi Transformed New Expressions in Japanese Paper,2/2/2024 through 4/26/2026,Bellevue Arts Museum,Museums,Bellevue / Eastside,https://visitseattle.org/events/washi-transformed-new-expressions-in-japanese-paper/
Explore The Market,Ongoing,Pike Place Market,Festivals & Special Events,Downtown,https://visitseattle.org/events/explore-the-market/
Olympic Sculpture Park,Ongoing,Olympic Sculpture Park,Visual Arts & Galleries,Downtown,https://visitseattle.org/events/olympic-sculpture-park/
Infinite Worlds of Science Fiction,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/infinite-worlds-of-science-fiction/
"Wild Blue Angel: Hendrix Abroad, 1966-70",Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/wild-blue-angel-hendrix-abroad-1966-70/
John Grade: Middle Fork,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/john-grade-middle-fork/
Scared to Death: The Thrill of Horror Film,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/scared-to-death-the-thrill-of-horror-film/
Nirvana: Taking Punk To the Masses,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/nirvana-taking-punk-to-the-masses/
Vietnam Divided: War Above Southeast Asia,Ongoing,The Museum of Flight,Museums,South Seattle,https://visitseattle.org/events/vietnam-divided-war-above-southeast-asia/
Science Fiction and Fantasy Hall of Fame,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/science-fiction-and-fantasy-hall-of-fame/
Cambodian Cultural Museum and Killing Fields Memorial,Ongoing,Wing Luke Museum,Museums,International District,https://visitseattle.org/events/cambodian-cultural-museum-and-killing-fields-memorial/
Honoring Our Journey,Ongoing,Wing Luke Museum,Museums,International District,https://visitseattle.org/events/honoring-our-journey/
Spotlight on Dale Chihuly: Works from Museum of Glass Permanent Collection,Ongoing,Museum of Glass,Museums,South,https://visitseattle.org/events/spotlight-on-dale-chihuly-works-from-museum-of-glass-permanent-collection/
Great Hall of Washington History,Ongoing,Washington State History Museum,Museums,South,https://visitseattle.org/events/great-hall-of-washington-history/
Humboldt Penguin Exhibit,Ongoing,Woodland Park Zoo,Museums,Wallingford / Greenlake,https://visitseattle.org/events/humboldt-penguin-exhibit/
Giant Pacific Octopus,Ongoing,Seattle Aquarium,Museums,Downtown,https://visitseattle.org/events/giant-pacific-octopus/
Meet our Marine Mammals,Ongoing,Seattle Aquarium,Museums,Downtown,https://visitseattle.org/events/meet-our-marine-mammals/
Window on Washington Waters,Ongoing,Seattle Aquarium,Museums,Downtown,https://visitseattle.org/events/window-on-washington-waters/
Guitar Gallery,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/guitar-gallery/
Nordic Journeys,Ongoing,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/nordic-journeys/
Baird’s beaked whale,Ongoing,Burke Museum,Museums,University District,https://visitseattle.org/events/bairds-beaked-whale/
Amazing Life,Ongoing,Burke Museum,Museums,University District,https://visitseattle.org/events/amazing-life/
Culture is Living,Ongoing,Burke Museum,Museums,University District,https://visitseattle.org/events/culture-is-living/
Fossils Uncovered,Ongoing,Burke Museum,Museums,University District,https://visitseattle.org/events/fossils-uncovered/
Northwest Native Art,Ongoing,Burke Museum,Museums,University District,https://visitseattle.org/events/northwest-native-art/
Our Material World,Ongoing,Burke Museum,Museums,University District,https://visitseattle.org/events/our-material-world/
Apollo,Ongoing,The Museum of Flight,Museums,South Seattle,https://visitseattle.org/events/apollo/
Art and Life Along the Northwest Coast,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/art-and-life-along-the-northwest-coast/
Washington: My Home,Ongoing,Washington State History Museum,Museums,South,https://visitseattle.org/events/washington-my-home/
Sensory-Friendly Programs,Ongoing,MoPOP Museum of Pop Culture,Festivals & Special Events,Queen Anne / Seattle Center,https://visitseattle.org/events/sensory-friendly-programs/
Dale Chihuly at Tacoma Art Museum,Ongoing,Tacoma Art Museum,Museums,South,https://visitseattle.org/events/dale-chihuly-at-tacoma-art-museum/
Be/longing: Contemporary Asian Art,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/be-longing-contemporary-asian-art/
Porcelain Room,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/porcelain-room/
Life on the Edge,Ongoing,Seattle Aquarium,Museums,Downtown,https://visitseattle.org/events/life-on-the-edge/
Tropical Pacific,Ongoing,Seattle Aquarium,Museums,Downtown,https://visitseattle.org/events/tropical-pacific/
Underwater Dome,Ongoing,Seattle Aquarium,Museums,Downtown,https://visitseattle.org/events/underwater-dome/
Meet the Animals,Ongoing,Woodland Park Zoo,Museums,Wallingford / Greenlake,https://visitseattle.org/events/meet-the-animals/
Chihuly Garden and Glass,Ongoing,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/chihuly-garden-and-glass/
Discover Ancient Coast Salish Culture,Ongoing,Hibulb Cultural Center,Museums,North,https://visitseattle.org/events/discover-ancient-coast-salish-culture/
Savor Seattle Signature Tour: Pike Place Market,Ongoing,Pike Place Market,Tours & Attractions,Downtown,https://visitseattle.org/events/savor-seattle-signature-tour-pike-place-market/
Untold Stories: World War II at 75,Ongoing,The Museum of Flight,Museums,South Seattle,https://visitseattle.org/events/untold-stories-world-war-ii-at-75/
Bezos Center for Innovation,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/bezos-center-for-innovation/
Maritime Seattle,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/maritime-seattle/
True Northwest: The Seattle Journey,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/true-northwest-the-seattle-journey/
Metaphor into Form: Art in the Era of the Pilchuck Glass School,Ongoing,Tacoma Art Museum,Museums,South,https://visitseattle.org/events/metaphor-into-form-art-in-the-era-of-the-pilchuck-glass-school/
Winter in the West,Ongoing,Tacoma Art Museum,Museums,South,https://visitseattle.org/events/winter-in-the-west/
Ballard Farmers Market – Sunday,Ongoing,Ballard Farmers Market,Festivals & Special Events,Fremont / Ballard,https://visitseattle.org/events/ballard-farmers-market-sunday/
Capitol Hill Farmers Market – Sunday,Ongoing,Capitol Hill Farmers Market,Festivals & Special Events,Capitol Hill / Central District,https://visitseattle.org/events/capitol-hill-farmers-market-sunday/
University District Farmers Market,Ongoing,University District Farmers Market,Festivals & Special Events,University District,https://visitseattle.org/events/university-district-farmers-market/
Fremont Sunday Market,Ongoing,Fremont Farmers Market,Festivals & Special Events,Fremont / Ballard,https://visitseattle.org/events/fremont-sunday-market/
Chihuly Garden and Glass Gallery Talks & Tours,Ongoing,Chihuly Garden and Glass,Tours & Attractions,Queen Anne / Seattle Center,https://visitseattle.org/events/chihuly-garden-and-glass-gallery-talks-tours/
Boundless: Stories of Asian Art,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/boundless-stories-of-asian-art/
Kenzan Tsutakawa-Chinn: Gather,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/kenzan-tsutakawa-chinn-gather/
Art Walk Edmonds | Every Third Thursday,Ongoing,Cascadia Art Museum,Visual Arts & Galleries,North,https://visitseattle.org/events/art-walk-edmonds-every-third-thursday/
Rise Up: Stonewall and the LGBTQ Rights Movement,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/rise-up-stonewall-and-the-lgbtq-rights-movement/
Show Me Seattle Tours,Ongoing,"Seattle, WA",Tours & Attractions,Downtown,https://visitseattle.org/events/show-me-seattle-tours/
LeMay – America’s Car Museum,Ongoing,LeMay - America's Car Museum,Museums,South,https://visitseattle.org/events/lemay-americas-car-museum/
History Link Tours,Ongoing,"Seattle, WA",Tours & Attractions,Downtown,https://visitseattle.org/events/history-link-tours/
West Seattle Farmers Market – Sundays,Ongoing,West Seattle Farmers Market,Festivals & Special Events,West Seattle,https://visitseattle.org/events/west-seattle-farmers-market-sundays/
REMEMBRANCE: The Legacy of Executive Order 9066 in Washington State,Ongoing,Washington State History Museum,Museums,South,https://visitseattle.org/events/remembrance-the-legacy-of-executive-order-9066-in-washington-state/
Pioneer Square First Thursday Art Walk,Ongoing,Pioneer Square,Visual Arts & Galleries,Pioneer Square,https://visitseattle.org/events/pioneer-square-first-thursday-art-walk/
Deities and Demons: Supernatural in Japanese Art,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/deities-and-demons-supernatural-in-japanese-art/
American Art: The Stories We Carry,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/american-art-the-stories-we-carry/
Pacific Species,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/pacific-species/
Reverberations: Contemporary Art and Modern Classics,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/reverberations-contemporary-art-and-modern-classics/
75 Years of Porsche,Ongoing,LeMay - America's Car Museum,Museums,South,https://visitseattle.org/events/75-years-of-porsche/
Manazma Sheen,Ongoing,Sea Monster Lounge,Music,Wallingford / Greenlake,https://visitseattle.org/events/manazma-sheen/
